policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f
error_trigger,burst,2026,2016,2015,0.7716486750915749,0.1292778122415219,1.7369727047146404,1.0421836228287842,13.016873449131513,137.0,0.6174248938916795,86.0545905707196,3.693229865476896,1.2,0.82550000000001,0.13520417329675818,22.99399999999976,8.390333333333222,248.44444444444093
generic_voi,burst,2026,2016,2015,0.7821990583064565,0.13809708436724566,1.8527708850289495,1.1579818031430935,12.521588089330026,139.0,0.6803723944312428,86.0545905707196,7.200545993016538,1.2,0.9005000000000104,0.13520417329675818,25.32733333333298,8.817416666666588,216.88888888888755
cvoi_sf,burst,2026,2016,2015,0.7960327305643338,0.12677574441687345,1.621174524400331,1.3068651778329199,1.6190239867659222,12.0,0.9984591137666357,86.0545905707196,20.951192471298107,0.05,0.7654999999999961,0.13520417329675818,20.660666666666472,9.404374999999925,15.000000000000236
b2croi_h,burst,2026,2016,2015,0.8020731479671096,0.09994055004135649,1.2737799834574028,0.8933002481389578,1.802812241521919,17.0,0.9999935964549975,86.0545905707196,227.57600865236694,0.05,0.37549999999999134,0.13520417329675818,13.995333333333253,8.954374999999903,5.666666666666522
h_no_mode,burst,2026,2016,2015,0.8103148321025472,0.09967690239867659,1.2737799834574028,0.8602150537634409,12.889330024813896,138.0,0.6509640708588033,86.0545905707196,338.56346202602896,1.2,0.37549999999999134,0.13520417329675818,13.995333333333253,9.422333333333235,231.8888888888869
h_no_constraint_bonus,burst,2026,2016,2015,0.8103148321025472,0.09967690239867659,1.2737799834574028,0.8602150537634409,12.889330024813896,138.0,0.6509640708588033,86.0545905707196,347.4876714440492,1.2,0.37549999999999134,0.13520417329675818,13.995333333333253,9.422333333333235,231.8888888888869
h_no_rmse_cost,burst,2026,2016,2015,0.8040526841442098,0.09899452026468156,1.2572373862696444,0.8933002481389578,1.8026468155500412,17.0,0.9999935964549975,86.0545905707196,225.844174836099,0.05,0.3604999999999913,0.13520417329675818,13.661999999999919,9.048124999999903,5.666666666666515
h_no_reliability,burst,2026,2016,2015,0.8020765554026807,0.09893248552522746,1.2572373862696444,0.8933002481389578,1.8052936311000827,17.0,0.9999935964549975,86.0545905707196,228.94765614940977,0.05,0.3604999999999913,0.13520417329675818,13.661999999999919,8.923124999999883,5.666666666666512
oracle,burst,2026,2016,2015,0.803062128776932,0.09608664185277088,1.240694789081886,0.76095947063689,12.94177005789909,138.0,0.6184818331029388,86.0545905707196,49.53782287340787,1.2,0.3454999999999913,0.13520417329675818,13.328666666666585,9.187958333333205,248.55555555555134
error_trigger,burst,2027,4032,2015,0.6941677093377799,0.09126602564102564,1.0752688172043012,1.2737799834574028,11.981803143093465,142.0,0.6371340036678682,85.31017369727047,3.4257640458976217,1.2,0.3904999999999747,0.14367932754275267,10.065333333333252,4.032958333333394,236.88888888888553
generic_voi,burst,2027,4032,2015,0.7090900317951271,0.0942152605459057,1.108354011579818,1.3234077750206783,11.508188585607941,140.0,0.7015935486000269,85.31017369727047,6.9530726995125,1.2,0.45049999999996865,0.14367932754275267,10.731999999999907,4.4808750000000295,205.2222222222225
cvoi_sf,burst,2027,4032,2015,0.7238492798647975,0.10422870140612076,1.174524400330852,1.7038875103391231,1.631430934656741,12.0,0.9987096206073048,85.31017369727047,20.236051387197474,0.05,0.5104999999999661,0.14367932754275267,12.065333333333081,5.150375000000006,15.666666666666693
b2croi_h,burst,2027,4032,2015,0.7400740221820215,0.059928143093465676,0.6286186931348222,0.9098428453267163,1.826302729528536,15.0,0.9999995074167035,85.31017369727047,228.07375316464206,0.05,0.0890000000000001,0.14367932754275267,2.696666666666728,5.885541666666635,4.444444444444289
h_no_mode,burst,2027,4032,2015,0.7174811918060259,0.05744158395368073,0.5955334987593052,0.9098428453267163,11.758312655086849,142.0,0.6927790657180556,85.31017369727047,340.148329933546,1.2,0.07400000000000011,0.14367932754275267,2.030000000000076,4.8751250000000415,210.55555555555478
h_no_constraint_bonus,burst,2027,4032,2015,0.7174811918060259,0.05744158395368073,0.5955334987593052,0.9098428453267163,11.758312655086849,142.0,0.6927790657180556,85.31017369727047,325.6316290978832,1.2,0.07400000000000011,0.14367932754275267,2.030000000000076,4.8751250000000415,210.55555555555478
h_no_rmse_cost,burst,2027,4032,2015,0.7451276656851237,0.05908291976840364,0.6120760959470637,0.9098428453267163,1.8272952853598015,15.0,0.9999995074167035,85.31017369727047,225.65769785599178,0.05,0.0890000000000001,0.14367932754275267,2.3633333333334097,6.182416666666597,4.444444444444289
h_no_reliability,burst,2027,4032,2015,0.7393945845118156,0.058920078577336644,0.6120760959470637,0.9098428453267163,1.817535153019024,14.0,0.9999995074167035,85.31017369727047,227.23709791205434,0.05,0.07400000000000011,0.14367932754275267,2.3633333333333946,5.854291666666635,4.4444444444442865
oracle,burst,2027,4032,2015,0.7285917501631474,0.058077440033085195,0.5955334987593052,0.9263854425144747,11.922415219189412,142.0,0.6459254939186939,85.31017369727047,55.0767695981889,1.2,0.07400000000000011,0.14367932754275267,2.030000000000076,5.65637499999998,232.55555555555247
error_trigger,burst,2028,6048,2015,0.6942146298957833,0.08302574441687345,0.9760132340777503,1.1248966087675765,12.206451612903226,139.0,0.6176553853446409,86.45161290322581,4.243797584489986,1.2,0.390499999999974,0.12972919858101153,8.42266666666643,3.917333333333473,247.77777777777376
generic_voi,burst,2028,6048,2015,0.6926996871147194,0.07524296939619521,0.8767576509511994,1.0090984284532674,11.828287841191067,137.0,0.6711167838824533,86.45161290322581,8.082369697180857,1.2,0.33049999999998525,0.12972919858101153,6.422666666666677,3.8340000000001107,220.44444444444238
cvoi_sf,burst,2028,6048,2015,0.7066277743005305,0.07133478081058726,0.7775020678246485,1.1248966087675765,1.5422663358147228,12.0,0.9980085179976929,86.45161290322581,21.206075383382608,0.05,0.2555000000000026,0.12972919858101153,4.422666666666846,4.45899999999987,14.888888888888737
b2croi_h,burst,2028,6048,2015,0.7444620156044662,0.03200217121588089,0.21505376344086022,0.6947890818858561,1.7303556658395367,15.0,0.9999995074167035,86.45161290322581,224.43675007971544,0.05,0.05870000000000029,0.12972919858101153,0.3853333333333324,6.054374999999749,4.666666666666521
h_no_mode,burst,2028,6048,2015,0.7440683763477427,0.030244520264681555,0.21505376344086022,0.5789909015715468,12.081058726220016,137.0,0.6468794654713761,86.45161290322581,330.79452325056116,1.2,0.05870000000000029,0.12972919858101153,0.3853333333333324,6.012708333333076,233.111111111108
h_no_constraint_bonus,burst,2028,6048,2015,0.7440683763477427,0.030244520264681555,0.21505376344086022,0.5789909015715468,12.081058726220016,137.0,0.6468794654713761,86.45161290322581,328.8050626448492,1.2,0.05870000000000029,0.12972919858101153,0.3853333333333324,6.012708333333076,233.111111111108
h_no_rmse_cost,burst,2028,6048,2015,0.7506185049484383,0.03139991728701406,0.21505376344086022,0.6451612903225806,1.7376344086021505,15.0,0.9999995074167035,86.45161290322581,223.05834058570505,0.05,0.05870000000000029,0.12972919858101153,0.3853333333333324,6.340833333333081,4.999999999999778
h_no_reliability,burst,2028,6048,2015,0.7498305150958733,0.03138182382133995,0.21505376344086022,0.6451612903225806,1.7421009098428453,15.0,0.9999995074167035,86.45161290322581,223.70746646945366,0.05,0.05870000000000029,0.12972919858101153,0.3853333333333324,6.304374999999747,4.888888888888706
oracle,burst,2028,6048,2015,0.7516136625230576,0.03248294044665012,0.24813895781637718,0.5789909015715468,12.238544251447477,137.0,0.6166911734663733,86.45161290322581,50.19816134365336,1.2,0.06260000000000063,0.12972919858101153,0.7186666666666657,6.523124999999748,248.44444444444017
error_trigger,burst,2029,8064,2015,0.6889091654519915,0.10078577336641853,1.2903225806451613,1.0587262200165426,9.041687344913152,134.0,0.6471621837229878,84.863523573201,3.7387735614779567,1.2,0.40549999999996345,0.14563808558431268,14.401999999999774,3.789624999999821,232.9999999999974
generic_voi,burst,2029,8064,2015,0.6947128338476466,0.097645264681555,1.2737799834574028,0.9098428453267163,8.650289495450785,132.0,0.681918456141553,84.863523573201,7.782847199949527,1.2,0.3904999999999712,0.14563808558431268,14.068666666666392,3.8989999999998113,215.99999999999855
cvoi_sf,burst,2029,8064,2015,0.7026224703586247,0.09903587675765095,1.240694789081886,1.1248966087675765,1.6535980148883376,15.0,0.9974848070108978,84.863523573201,20.254006674027917,0.05,0.3604999999999734,0.14563808558431268,13.47133333333306,4.039624999999796,18.444444444444976
b2croi_h,burst,2029,8064,2015,0.7216414190354062,0.0731932382133995,0.9925558312655087,0.3639371381306865,1.8463192721257238,15.0,0.9999935964549975,84.863523573201,225.2189487579369,0.05,0.180499999999982,0.14563808558431268,9.804666666666392,4.777124999999799,5.6666666666663845
h_no_mode,burst,2029,8064,2015,0.720039598653392,0.07015870554177006,0.9429280397022334,0.3639371381306865,9.076095947063688,133.0,0.6833735508360511,84.863523573201,293.7226846557637,1.2,0.13549999999999435,0.14563808558431268,9.137999999999725,4.662541666666463,214.9999999999992
h_no_constraint_bonus,burst,2029,8064,2015,0.720039598653392,0.07015870554177006,0.9429280397022334,0.3639371381306865,9.076095947063688,133.0,0.6833735508360511,84.863523573201,302.95026515178364,1.2,0.13549999999999435,0.14563808558431268,9.137999999999725,4.662541666666463,214.9999999999992
h_no_rmse_cost,burst,2029,8064,2015,0.7237059208786968,0.07125465260545906,0.9594706368899917,0.3639371381306865,1.8521091811414392,15.0,0.9999935964549975,84.863523573201,220.89027723981525,0.05,0.15049999999999025,0.14563808558431268,9.137999999999725,4.8708749999998,5.666666666666372
h_no_reliability,burst,2029,8064,2015,0.7230825540667555,0.07024658808933003,0.9429280397022334,0.3639371381306865,1.8420181968569065,13.0,0.9999935964549975,84.863523573201,226.9844372038066,0.05,0.13549999999999435,0.14563808558431268,9.137999999999725,4.839624999999799,4.999999999999832
