N,heterogeneity,bw,network,policy,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,choice_fairness_mean,choice_fairness_ci95,avg_aoi_mean,avg_aoi_ci95
3,high,1,burst,ar1_growth_voi,21,0.45269191361275174,0.01905617989169938,0.09585157795428634,0.01607713257676961,1.1997321674741028,0.23521394823462569,0.603821464062826,0.010864227502662027,4.4413328606877,0.20399293589527134
3,high,1,burst,b2croi_hq,21,0.3753923919986341,0.02371624684684701,0.02728453655474375,0.005177621891357369,0.3111583756745048,0.0684749323069577,0.9568362454106859,0.012910895740278679,5.310094922998149,0.5942274907580658
3,high,1,burst,cvoi_sf,21,0.41409097521226895,0.017459774968050772,0.07780521605288475,0.01423225766166035,0.9610461223364452,0.19509219450932502,0.9926400205122556,0.001809943350882523,1.6326283035960456,0.039665409213228205
3,high,1,burst,error_trigger,21,0.35921113768120055,0.01937195333722179,0.06989790037613648,0.013056103955115,0.8420969711292294,0.18301746807820757,0.948156060143368,0.016094977079381956,6.072165110874788,0.7195744033494929
3,high,1,burst,generic_voi,21,0.35677748806756077,0.019187112999636616,0.0691907104584172,0.012348704715452486,0.852337626531175,0.17211694169108094,0.9488186116721495,0.01582891717279139,5.418118082634211,0.5587429012227235
3,high,1,burst,oracle,21,0.38796418025202556,0.028250662916312334,0.020428561574056106,0.0032280751133506678,0.22293119067312617,0.04165588168220878,0.9406401484168256,0.01523901279722094,5.957973925715861,0.7349413951028119
3,high,1,severe_burst,ar1_growth_voi,21,0.7151415333751935,0.0475372167843314,0.13584606793715193,0.020029751225307278,1.6763165150261923,0.29315785725388016,0.6225281099164012,0.012574420856257776,5.439536807278743,0.2289851069436236
3,high,1,severe_burst,b2croi_hq,21,0.6533122632417636,0.04680470455860927,0.07046818184470818,0.010232799978916901,0.8113750049233921,0.13108526775688756,0.9727787421023787,0.008618636499023459,6.294718185040766,0.6573764406980057
3,high,1,severe_burst,cvoi_sf,21,0.6737705839597905,0.04664225490987662,0.11953830083400134,0.017611946417548496,1.4305407853794951,0.2341366791202608,0.9927587966768249,0.0014646628568310085,2.6329512781125683,0.09944674349718798
3,high,1,severe_burst,error_trigger,21,0.6318239181697483,0.04718021003841341,0.11139888845157135,0.01532037534704675,1.3525542557800623,0.20326075550883035,0.955465395496034,0.014614204093242746,7.458434755208949,0.8359451004199877
