setting,network,window,rmse_delta,loss_delta,missed_pct_delta,fairness_delta,avg_aoi_delta
Nominal,burst,0,0.022180211850262088,-0.04780035153019023,-0.6617038875103392,0.30028921623099636,-3.740612076095947
Nominal,burst,1,0.012695348986379584,-0.025759925558312663,-0.3308519437551696,0.321248567290085,-5.77187758478081
Nominal,burst,2,0.02757908339337667,-0.03355820926385443,-0.446650124069479,0.32056025805171806,-5.543920595533499
Nominal,burst,3,0.03311783587466166,-0.02821029776674938,-0.36393713813068646,0.2790191067198923,-3.194210090984284
Nominal,burst,4,0.04295882087009417,-0.025896918941273772,-0.3308519437551697,0.3448716491965873,-7.047477253928867
Nominal,burst,5,0.0060410751744753854,-0.02146401985111663,-0.31430934656741105,0.34215692336880155,-6.328866832092639
Nominal,severe_burst,0,0.027824013031449546,-0.032327853598014905,-0.4301075268817205,0.2685227250227703,-3.7215880893300244
Nominal,severe_burst,1,0.009530993479183847,-0.03442928039702234,-0.43010752688172027,0.27192964814337384,-5.635401157981803
Nominal,severe_burst,2,0.019082482821916713,-0.042726426799007455,-0.6617038875103389,0.3210211025830465,-5.615880893300249
Nominal,severe_burst,3,0.0161623686708654,-0.025728908188585614,-0.3473945409429282,0.2541239357695052,-3.3116625310173697
Nominal,severe_burst,4,0.02861133619723133,-0.03729321753515302,-0.5293631100082712,0.32829599796409226,-6.934160463192722
Nominal,severe_burst,5,0.007601192178375404,-0.03328680727874275,-0.512820512820513,0.3354247143037592,-6.123242349048802
Missed weight 4,burst,0,0.022180211850262088,-0.03456627377998346,-0.6617038875103392,0.30028921623099636,-3.740612076095947
Missed weight 4,burst,1,0.012695348986379584,-0.019142886683209265,-0.3308519437551696,0.321248567290085,-5.77187758478081
Missed weight 4,burst,2,0.029520398055999597,-0.024576095947063684,-0.446650124069479,0.32056025805171806,-5.546732837055417
Missed weight 4,burst,3,0.03311783587466166,-0.020931555004135648,-0.36393713813068646,0.2790191067198923,-3.194210090984284
Missed weight 4,burst,4,0.04239358441208074,-0.019295388751033905,-0.3308519437551697,0.3448716491965873,-7.043176178660049
Missed weight 4,burst,5,0.0060410751744753854,-0.015177832919768406,-0.31430934656741105,0.34215692336880155,-6.328866832092639
Missed weight 4,severe_burst,0,0.027824013031449546,-0.023725703060380465,-0.4301075268817205,0.2685227250227703,-3.7215880893300244
Missed weight 4,severe_burst,1,0.009530993479183847,-0.025827129859387926,-0.43010752688172027,0.27192964814337384,-5.635401157981803
Missed weight 4,severe_burst,2,0.019082482821916713,-0.02949234904880066,-0.6617038875103389,0.3210211025830465,-5.615880893300249
Missed weight 4,severe_burst,3,0.0161623686708654,-0.01878101736972705,-0.3473945409429282,0.2541239357695052,-3.3116625310173697
Missed weight 4,severe_burst,4,0.02861133619723133,-0.026705955334987597,-0.5293631100082712,0.32829599796409226,-6.934160463192722
Missed weight 4,severe_burst,5,0.007601192178375404,-0.023030397022332505,-0.512820512820513,0.3354247143037592,-6.123242349048802
Missed weight 8,burst,0,0.022180211850262088,-0.06103442928039701,-0.6617038875103392,0.30028921623099636,-3.740612076095947
