policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,N,heterogeneity,bw
error_trigger,burst,5000,2016,2015,0.3680517361430254,0.05453755194327846,0.6286186931348222,0.9760132340777503,8.142762613730355,109.0,0.979622567033474,83.87096774193549,5.194941990853983,1.1944218645522908,0.16550000000001014,0.16039075376240935,2.995333333333365,0.0,58.77777777777632,3,low,1
generic_voi,burst,5000,2016,2015,0.3654306188385766,0.05079505219936306,0.5624483043837882,0.9925558312655087,7.8137303556658395,108.0,0.9804060056440247,83.87096774193549,9.88766227481383,1.187822727034169,0.1409000000000008,0.16039075376240935,2.3286666666666975,0.0,57.44444444444283,3,low,1
cvoi_sf,burst,5000,2016,2015,0.43841941772088244,0.06873604126218687,0.76095947063689,1.3234077750206783,1.680893300248139,14.0,0.9970218691748972,83.87096774193549,35.252537931923385,0.05,0.3115999999999993,0.16039075376240935,6.2986666666666835,0.0,20.111111111111374,3,low,1
b2croi_v8,burst,5000,2016,2015,0.37656116893533004,0.01965634994731245,0.21505376344086022,0.2977667493796526,7.545409429280397,109.0,0.9780297550267583,83.87096774193549,405.8141199231758,1.2,0.06110000000000083,0.16039075376240935,0.3553333333333324,0.0,61.77777777777647,3,low,1
v8_no_mode,burst,5000,2016,2015,0.38046400424023946,0.015238836813473001,0.1488833746898263,0.26468155500413565,8.26302729528536,109.0,0.9735538910145236,83.87096774193549,413.142501494429,1.2,0.05,0.16039075376240935,0.0,0.0,62.88888888888841,3,low,1
v8_no_constraint_bonus,burst,5000,2016,2015,0.38046400424023946,0.015238836813473001,0.1488833746898263,0.26468155500413565,8.26302729528536,109.0,0.9735538910145236,83.87096774193549,423.466623298565,1.2,0.05,0.16039075376240935,0.0,0.0,62.88888888888841,3,low,1
v8_no_rmse_cost,burst,5000,2016,2015,0.37295384455555713,0.018624895374083822,0.19851116625310172,0.2977667493796526,7.4304383788254755,109.0,0.9781216431629352,83.87096774193549,419.93503021446077,1.2,0.05,0.16039075376240935,0.02199999999999918,0.0,62.44444444444314,3,low,1
v8_no_reliability,burst,5000,2016,2015,0.3768018123014775,0.018669556375622277,0.19851116625310172,0.2977667493796526,7.947229114971051,109.0,0.9763096913565552,83.87096774193549,434.61862801303783,1.2,0.06110000000000083,0.16039075376240935,0.3553333333333324,0.0,62.77777777777672,3,low,1
oracle,burst,5000,2016,2015,0.3804278869716486,0.015238899902431534,0.1488833746898263,0.26468155500413565,8.143589743589743,109.0,0.9752937669450904,83.87096774193549,70.2675279442489,1.2,0.05,0.16039075376240935,0.0,0.0,61.11111111111023,3,low,1
error_trigger,burst,5001,4032,2015,0.3586487806431311,0.0561482075090919,0.7444168734491315,0.6286186931348222,7.741935483870968,108.0,0.9839685031202917,85.75682382133995,4.9177658623985705,0.6220502463383549,0.27049999999996915,0.13632133544856723,3.5540000000000838,0.0,44.888888888888424,3,low,1
