policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,N,heterogeneity,bw
error_trigger,burst,3000,2016,2015,0.3169429976246878,0.047978449558332054,0.6782464846980976,0.380479735318445,8.243341604631928,123.0,0.977522560620495,86.45161290322581,3.705576302543763,1.2,0.2425999999999959,0.13142369576495538,4.737999999999958,0.0,66.5555555555548,3,low,1
generic_voi,burst,3000,2016,2015,0.3132872896287863,0.04396801774176418,0.5955334987593052,0.4466501240694789,6.856906534325889,96.0,0.9795856968147617,86.45161290322581,7.287199261180003,1.2,0.19760000000000189,0.13142369576495538,3.7379999999999782,0.0,62.88888888888775,3,low,1
ar1_growth_voi,burst,3000,2016,2015,0.39193396713173706,0.08143630742221837,1.141439205955335,0.6947890818858561,3.651116625310174,33.0,0.6656042179264168,86.45161290322581,9.200583522903639,1.2,0.6305000000000031,0.13142369576495538,11.233333333333222,0.0,223.2222222222215,3,low,1
cvoi_sf,burst,3000,2016,2015,0.39276358923298077,0.052541195972067606,0.6451612903225806,0.76095947063689,1.616708023159636,17.0,0.9969689893529121,86.45161290322581,20.835988359900178,0.05,0.19760000000000233,0.13142369576495538,3.618666666666698,0.0,19.888888888889014,3,low,1
b2croi_v8q,burst,3000,2016,2015,0.3388239605064561,0.024157725548612185,0.3308519437551696,0.1654259718775848,7.263854425144748,107.0,0.9798268215865606,86.45161290322581,289.13258225368173,1.2,0.1376000000000024,0.13142369576495538,2.2853333333334267,0.0,63.55555555555444,3,low,1
oracle,burst,3000,2016,2015,0.33100553515312325,0.02281200023134411,0.3143093465674111,0.1488833746898263,8.148883374689825,123.0,0.9785275711375427,86.45161290322581,53.11970723210545,1.2,0.12260000000000237,0.13142369576495538,1.952000000000091,0.0,66.88888888888796,3,low,1
error_trigger,burst,3001,4032,2015,0.33230795790951173,0.06475946858250697,0.8933002481389578,0.6286186931348222,7.69793217535153,109.0,0.9801106498087321,86.20347394540943,3.865337872845364,1.2,0.4054999999999789,0.1356453547246729,7.344666666666475,0.060117063364761004,48.99999999999892,3,low,1
generic_voi,burst,3001,4032,2015,0.32557796786302967,0.06047405905775696,0.8602150537634409,0.47973531844499584,6.9073614557485525,98.0,0.9818484182597241,86.20347394540943,7.518896169812596,1.2,0.3754999999999789,0.1356453547246729,6.677999999999886,0.060117063364761004,46.888888888887834,3,low,1
ar1_growth_voi,burst,3001,4032,2015,0.41543055905458454,0.09975736829154196,1.3399503722084367,1.108354011579818,3.51166253101737,46.0,0.671489046983271,86.20347394540943,9.128771590591215,1.2,0.8105000000000128,0.1356453547246729,15.143333333333272,0.06814098660085767,220.11111111111074,3,low,1
cvoi_sf,burst,3001,4032,2015,0.3971561374789123,0.06404375435658251,0.7444168734491315,1.1248966087675765,1.617535153019024,13.0,0.9926736917664725,86.20347394540943,20.892401722724326,0.15598373972569682,0.2704999999999925,0.1356453547246729,4.436666666666748,0.06814940477193027,26.333333333333595,3,low,1
b2croi_v8q,burst,3001,4032,2015,0.33612488766436766,0.027097322070879955,0.34739454094292804,0.2977667493796526,6.82464846980976,109.0,0.984943809158548,86.20347394540943,282.14450236918316,1.14538008976209,0.07430000000000307,0.1356453547246729,0.952666666666697,0.060117063364761004,43.333333333331886,3,low,1
