Setting,Network,RMSE delta,RMSE CI95,Loss delta,Loss CI95,Missed delta pp,Missed CI95 pp,Fairness delta,Fairness CI95
Nominal,burst,0.024095396024874927,0.010788649037575584,-0.030448287151916182,0.0074992914079776065,-0.4080507306313758,0.10644478241808861,0.3180242868096801,0.020102915758584094
Nominal,severe burst,0.01813539772983704,0.007097704840173733,-0.03429874896608768,0.004503172116378911,-0.485249517507582,0.08686698945227196,0.2965530206310912,0.028424612159321995
Missed weight 4,burst,0.024324742392309844,0.01076472893148505,-0.022281672180865728,0.005394251269591738,-0.4080507306313758,0.10644478241808861,0.3180242868096801,0.020102915758584094
Missed weight 4,severe burst,0.01813539772983704,0.007097704840173733,-0.024593758615936035,0.002928311466718172,-0.485249517507582,0.08686698945227196,0.2965530206310912,0.028424612159321995
Missed weight 8,burst,0.02530052327000676,0.01133249665730139,-0.038578715191618415,0.00960340027422341,-0.4080507306313758,0.10644478241808861,0.3180242868096801,0.020102915758584094
Missed weight 8,severe burst,0.01813539772983704,0.007097704840173733,-0.04400373931623932,0.0061659394465525515,-0.485249517507582,0.08686698945227196,0.2965530206310912,0.028424612159321995
False-alarm weight 1,burst,0.025373449327523428,0.01109227842427805,-0.028321874138406394,0.006950266756670477,-0.4108078301626689,0.10503631877750778,0.3180242868096801,0.020102915758584094
False-alarm weight 1,severe burst,0.01842505534217731,0.006846160553472826,-0.03296586366142818,0.0047162961562139975,-0.49627791563275436,0.08413463665578372,0.2965530206310912,0.028424612159321995
False-alarm weight 2,burst,0.024324742392309844,0.01076472893148505,-0.03262079542321478,0.007912965975993691,-0.4080507306313758,0.10644478241808861,0.3180242868096801,0.020102915758584094
False-alarm weight 2,severe burst,0.0172098481845064,0.0063157571114444725,-0.03631487799834574,0.004409657829329168,-0.485249517507582,0.08686698945227196,0.2965530206310912,0.028424612159321995
Channel loss x0.8,burst,0.02259347426658846,0.01300165581248964,-0.03120562792941825,0.008799776715159675,-0.413564929693962,0.13446956179494574,0.32284758510644834,0.018303093531484484
Channel loss x0.8,severe burst,0.015397808211424094,0.013510778716190568,-0.03624595051006341,0.0067254566550849805,-0.5210918114143921,0.11129966261899153,0.2993780784428971,0.022166760209735462
Channel loss x1.2,burst,0.026076640171184124,0.013780594993026167,-0.0296401123518059,0.006575619121590749,-0.39702233250620345,0.09284674701082432,0.3150217518561833,0.019376368006831575
Channel loss x1.2,severe burst,0.01147853938921902,0.008418045296361464,-0.03331437827405569,0.004706381340363564,-0.47422111938240974,0.06937246387720367,0.29983503946279716,0.02143221227963142
