bin,n,pred,obs,abs_gap,model
"(-0.001, 0.1]",5080,0.05019051672701784,0.009251968503937008,0.04093854822308083,p_gaussian
"(0.1, 0.2]",3105,0.1354279386409912,0.020289855072463767,0.11513808356852744,p_gaussian
"(0.2, 0.3]",3896,0.2542874156328511,0.02566735112936345,0.22862006450348768,p_gaussian
"(0.3, 0.4]",501,0.324604082372778,0.01996007984031936,0.3046440025324586,p_gaussian
"(0.4, 0.5]",5983,0.46142851138584534,0.1041283636971419,0.35730014768870344,p_gaussian
"(0.5, 0.6]",3143,0.5485986972240312,0.8539611835825645,0.30536248635853325,p_gaussian
"(0.6, 0.7]",4008,0.6555170437635679,0.8907185628742516,0.23520151911068365,p_gaussian
"(0.7, 0.8]",4314,0.7352561116392394,0.9707927677329624,0.23553665609372298,p_gaussian
"(0.8, 0.9]",5394,0.8546721886974044,0.9766407119021134,0.12196852320470908,p_gaussian
"(0.9, 1.0]",12936,0.975821329709988,0.9938930117501547,0.018071682040166626,p_gaussian
"(-0.001, 0.1]",13640,0.015467534546618837,0.03988269794721408,0.02441516340059524,p_empirical
"(0.1, 0.2]",6344,0.11886700940925406,0.21059268600252207,0.09172567659326801,p_empirical
"(0.2, 0.3]",18,0.2528260270195754,1.0,0.7471739729804245,p_empirical
"(0.3, 0.4]",24,0.3479114971050455,1.0,0.6520885028949546,p_empirical
"(0.4, 0.5]",22,0.479224001804647,1.0,0.520775998195353,p_empirical
"(0.5, 0.6]",56,0.5585164835164835,1.0,0.44148351648351647,p_empirical
"(0.6, 0.7]",42,0.651482925676474,1.0,0.34851707432352597,p_empirical
"(0.7, 0.8]",32,0.7735576923076923,0.96875,0.19519230769230766,p_empirical
"(0.8, 0.9]",5559,0.8746299676334666,0.8947652455477604,0.020135277914293814,p_empirical
"(0.9, 1.0]",22623,0.9900922544295758,0.9885072713610042,0.0015849830685715771,p_empirical
