variable_set,network,seed,window,policy,baseline,loss_mean_delta,missed_violation_pct_delta,rmse_mean_delta,choice_fairness_delta
temperature_inside,burst,0,0,b2croi_v8q,error_trigger,-0.02050550729673384,-0.3011350474866805,-0.004634348713503655,0.07707176079853917
temperature_inside,burst,0,1,b2croi_v8q,error_trigger,-0.008344857539958308,-0.11582117211026176,-0.004405622912049406,0.1295089254896935
temperature_inside,burst,1,0,b2croi_v8q,error_trigger,-0.011463105165624276,-0.16214964095436646,0.002996428346654839,0.09512066095010407
temperature_inside,burst,1,1,b2croi_v8q,error_trigger,-0.011116788278897382,-0.16214964095436646,0.0027326694842995103,0.11381328325302265
temperature_inside,burst,2,0,b2croi_v8q,error_trigger,-0.013199785730831595,-0.1853138753764188,0.00275939865613245,0.09086281913901173
temperature_inside,burst,2,1,b2croi_v8q,error_trigger,-0.01353570187630299,-0.1853138753764188,0.012108366246973201,0.13309638529393464
temperature_inside,burst,3,0,b2croi_v8q,error_trigger,-0.0170238417882789,-0.25480657864257583,0.0020363667527255602,0.09340578147940792
temperature_inside,burst,3,1,b2croi_v8q,error_trigger,-0.009032823720176046,-0.11582117211026176,0.0017734084777433767,0.11799567628898777
temperature_inside,burst,4,0,b2croi_v8q,error_trigger,-0.007638614778781562,-0.11582117211026176,0.004616941258016344,0.1006452201519622
temperature_inside,burst,4,1,b2croi_v8q,error_trigger,-0.006951731526523048,-0.11582117211026177,-0.0017868972463502553,0.11844398748002039
temperature_inside,burst,5,0,b2croi_v8q,error_trigger,-0.014245193421357428,-0.20847810979847117,0.0009255381804440244,0.07908918776000917
temperature_inside,burst,5,1,b2croi_v8q,error_trigger,-0.009376546212647673,-0.11582117211026177,0.0046954314539802144,0.13046297377943006
temperature_inside,burst,6,0,b2croi_v8q,error_trigger,-0.017721589066481355,-0.2548065786425759,-0.000521494251305904,0.08542777184451988
temperature_inside,burst,6,1,b2croi_v8q,error_trigger,-0.005553376187167012,-0.0463284688441047,0.006253185048120641,0.13178354345094412
temperature_inside,burst,7,0,b2croi_v8q,error_trigger,-0.016675092656937687,-0.23164234422052352,0.0032681401856338166,0.09292446475206984
temperature_inside,burst,7,1,b2croi_v8q,error_trigger,-0.007641608756080611,-0.0926569376882094,0.0028042014004821536,0.127215059800471
temperature_inside,burst,8,0,b2croi_v8q,error_trigger,-0.010076633078526756,-0.0926569376882094,-0.0011493535947192102,0.09329248628998577
temperature_inside,burst,8,1,b2croi_v8q,error_trigger,-0.009028851053972668,-0.11582117211026176,0.005817719613880001,0.1307695791303881
temperature_inside,burst,9,0,b2croi_v8q,error_trigger,-0.010771704887653463,-0.11582117211026176,0.0003286168085943897,0.08911363794811433
temperature_inside,burst,9,1,b2croi_v8q,error_trigger,-0.008293288163076208,-0.0926569376882094,0.028359674035895677,0.1312072118827684
temperature_inside,burst,10,0,b2croi_v8q,error_trigger,-0.019459248320593,-0.27797081306462823,-0.0007863619805950073,0.09702738792889787
temperature_inside,burst,10,1,b2croi_v8q,error_trigger,-0.004517378966875145,-0.04632846884410471,-1.4776363155666328e-05,0.12451547695510079
temperature_inside,burst,11,0,b2croi_v8q,error_trigger,-0.015284404679175353,-0.20847810979847117,0.0037851849963512763,0.1071757505016554
temperature_inside,burst,11,1,b2croi_v8q,error_trigger,-0.010771623812832986,-0.16214964095436646,0.0009772715722898007,0.12712897021195602
temperature_inside,burst,12,0,b2croi_v8q,error_trigger,-0.013548922863099376,-0.1853138753764188,0.0022863380386264343,0.10050956646178322
temperature_inside,burst,12,1,b2croi_v8q,error_trigger,-0.01389347926801019,-0.23164234422052352,0.005165902954216317,0.13120939893934536
temperature_inside,burst,13,0,b2croi_v8q,error_trigger,-0.012856804493861477,-0.1853138753764188,-0.0006675048893092228,0.09313421009787404
temperature_inside,burst,13,1,b2croi_v8q,error_trigger,-0.017714755617326848,-0.27797081306462823,0.005803210517433738,0.13277904763078707
